nickname,full_name
Feron Hunt,Feron Hunt
Ben McLemore,Ben McLemore
Patty Mills,Patty Mills
Ja Morant,Ja Morant
Paul Reed,Paul Reed
Desmond Bane,Desmond Bane
Matt Lewis,Matt Lewis
DJ Steward,DJ Steward
John Collins,John Collins
Mason Plumlee,Mason Plumlee
Raul Neto,Raul Neto
Mitchell Robinson,Mitchell Robinson
Luke Kennard,Luke Kennard
Delon Wright,Delon Wright
Evan Fournier,Evan Fournier
Talen Horton-Tucker,Talen Horton-Tucker
Ben Simmons,Ben Simmons
Taurean Prince,Taurean Prince
Robert Covington,Robert Covington
Jared Butler,Jared Butler
Taj Gibson,Taj Gibson
Aaron Gordon,Aaron Gordon
Jonathan Kuminga,Jonathan Kuminga
R.J. Hampton,R.J. Hampton
Pat Connaughton,Pat Connaughton
Keifer Sykes,Keifer Sykes
Bradley Beal,Bradley Beal
Zylan Cheatham,Zylan Cheatham
David Johnson,David Johnson
Justin Champagnie,Justin Champagnie
Steven Adams,Steven Adams
Tyrese Maxey,Tyrese Maxey
Derrick White,Derrick White
Kyle Lowry,Kyle Lowry
James Wiseman,James Wiseman
Daulton Hommes,Daulton Hommes
Frank Ntilikina,Frank Ntilikina
Louis King,Louis King
Luguentz Dort,Luguentz Dort
Jericho Sims,Jericho Sims
Wes Iwundu,Wes Iwundu
Ricky Rubio,Ricky Rubio
Chris Smith,Chris Smith
Josh Okogie,Josh Okogie
Kyrie Irving,Kyrie Irving
Russell Westbrook,Russell Westbrook
Eugene Omoruyi,Eugene Omoruyi
Paul Watson,Paul Watson
Svi Mykhailiuk,Svi Mykhailiuk
Ish Smith,Ish Smith
Quinn Cook,Quinn Cook
Isaiah Stewart,Isaiah Stewart
Nemanja Bjelica,Nemanja Bjelica
Nikola Jokic,Nikola Jokic
Andre Drummond,Andre Drummond
Reggie Perry,Reggie Perry
Mike Muscala,Mike Muscala
Alize Johnson,Alize Johnson
Caris LeVert,Caris LeVert
Jahlil Okafor,Jahlil Okafor
Luka Garza,Luka Garza
Cameron Johnson,Cameron Johnson
OG Anunoby,OG Anunoby
Seth Curry,Seth Curry
Michael Porter Jr.,Michael Porter Jr.
Jordan Goodwin,Jordan Goodwin
Tyus Jones,Tyus Jones
JaVale McGee,JaVale McGee
RJ Nembhard Jr.,RJ Nembhard Jr.
Devon Dotson,Devon Dotson
Miles McBride,Miles McBride
Jalen Brunson,Jalen Brunson
Marko Simonovic,Marko Simonovic
Grant Williams,Grant Williams
Carmelo Anthony,Carmelo Anthony
Sam Hauser,Sam Hauser
Jevon Carter,Jevon Carter
Chris Duarte,Chris Duarte
Kristaps Porzingis,Kristaps Porzingis
Chris Chiozza,Chris Chiozza
Brook Lopez,Brook Lopez
Kevin Huerter,Kevin Huerter
Willy Hernangomez,Willy Hernangomez
Deni Avdija,Deni Avdija
Hamidou Diallo,Hamidou Diallo
Solomon Hill,Solomon Hill
Maxi Kleber,Maxi Kleber
Draymond Green,Draymond Green
Malachi Flynn,Malachi Flynn
Matt Thomas,Matt Thomas
Nick Richards,Nick Richards
Larry Nance Jr.,Larry Nance Jr.
Edmond Sumner,Edmond Sumner
Trent Forrest,Trent Forrest
Jrue Holiday,Jrue Holiday
Terance Mann,Terance Mann
Justin Holiday,Justin Holiday
Kevon Looney,Kevon Looney
Dorian Finney-Smith,Dorian Finney-Smith
Torrey Craig,Torrey Craig
Jalen Suggs,Jalen Suggs
Jon Teske,Jon Teske
Zach Collins,Zach Collins
Joel Embiid,Joel Embiid
Devin Vassell,Devin Vassell
Jaden McDaniels,Jaden McDaniels
Khris Middleton,Khris Middleton
Shai Gilgeous-Alexander,Shai Gilgeous-Alexander
DeMar DeRozan,DeMar DeRozan
Gorgui Dieng,Gorgui Dieng
Paul Millsap,Paul Millsap
Kyle Guy,Kyle Guy
Danny Green,Danny Green
Jock Landale,Jock Landale
Reggie Bullock,Reggie Bullock
Chaundee Brown,Chaundee Brown
Jordan Bell,Jordan Bell
Marquese Chriss,Marquese Chriss
Derrick Rose,Derrick Rose
Cameron Oliver,Cameron Oliver
Dejounte Murray,Dejounte Murray
Micah Potter,Micah Potter
De'Anthony Melton,De'Anthony Melton
Georges Niang,Georges Niang
Sharife Cooper,Sharife Cooper
Dewayne Dedmon,Dewayne Dedmon
Drew Eubanks,Drew Eubanks
Day'Ron Sharpe,Day'Ron Sharpe
Chandler Hutchison,Chandler Hutchison
Stephen Curry,Stephen Curry
Sekou Doumbouya,Sekou Doumbouya
George Hill,George Hill
Max Strus,Max Strus
Jalen McDaniels,Jalen McDaniels
Zeke Nnaji,Zeke Nnaji
Mitch Ballock,Mitch Ballock
Keon Johnson,Keon Johnson
Montrezl Harrell,Montrezl Harrell
Saddiq Bey,Saddiq Bey
Tarik Black,Tarik Black
Amir Coffey,Amir Coffey
Tre Jones,Tre Jones
Isaiah Livers,Isaiah Livers
Terence Davis,Terence Davis
Gabriel Deck,Gabriel Deck
Elijah Hughes,Elijah Hughes
Buddy Hield,Buddy Hield
Naji Marshall,Naji Marshall
MaCio Teague,MaCio Teague
DeAndre' Bembry,DeAndre' Bembry
Norman Powell,Norman Powell
Obi Toppin,Obi Toppin
Cody Martin,Cody Martin
Robin Lopez,Robin Lopez
Freddie Gillespie,Freddie Gillespie
Kelan Martin,Kelan Martin
Jordan Nwora,Jordan Nwora
Bogdan Bogdanovic,Bogdan Bogdanovic
Markelle Fultz,Markelle Fultz
Quentin Grimes,Quentin Grimes
Juan Toscano-Anderson,Juan Toscano-Anderson
Carlik Jones,Carlik Jones
Timothe Luwawu-Cabarrot,Timothe Luwawu-Cabarrot
Kira Lewis Jr.,Kira Lewis Jr.
Isaiah Todd,Isaiah Todd
Garrison Mathews,Garrison Mathews
Wayne Ellington,Wayne Ellington
Giannis Antetokounmpo,Giannis Antetokounmpo
Donte DiVincenzo,Donte DiVincenzo
Davion Mitchell,Davion Mitchell
D'Angelo Russell,D'Angelo Russell
Jalen Johnson,Jalen Johnson
Aaron Henry,Aaron Henry
Richaun Holmes,Richaun Holmes
Tyler Herro,Tyler Herro
Jalen Smith,Jalen Smith
Darius Garland,Darius Garland
Xavier Tillman Sr.,Xavier Tillman Sr.
Isaiah Miller,Isaiah Miller
Cole Anthony,Cole Anthony
DeAndre Jordan,DeAndre Jordan
Nicolas Claxton,Nicolas Claxton
Wenyen Gabriel,Wenyen Gabriel
Jamorko Pickett,Jamorko Pickett
LeBron James,LeBron James
Paul George,Paul George
Devin Booker,Devin Booker
Kent Bazemore,Kent Bazemore
Javin DeLaurier,Javin DeLaurier
Daishen Nix,Daishen Nix
Andrew Wiggins,Andrew Wiggins
D.J. Carton,D.J. Carton
Jimmy Butler,Jimmy Butler
Rajon Rondo,Rajon Rondo
Georgios Kalaitzakis,Georgios Kalaitzakis
Oshae Brissett,Oshae Brissett
Jaxson Hayes,Jaxson Hayes
Romeo Langford,Romeo Langford
Trey Lyles,Trey Lyles
Theo Pinson,Theo Pinson
Neemias Queta,Neemias Queta
Josh Giddey,Josh Giddey
Robert Williams III,Robert Williams III
E'Twaun Moore,E'Twaun Moore
Trevor Ariza,Trevor Ariza
Dwight Howard,Dwight Howard
Joe Wieskamp,Joe Wieskamp
Dante Exum,Dante Exum
